n_neurons_l0,activation_l0,alpha_l0,dropout_l0,n_layers,n_neurons_l1,activation_l1,dropout_l1,n_neurons_l2,activation_l2,dropout_l2,lr,optimizer,batch_size,value,n_params,trial_number,alpha_l1,alpha_l2,n_neurons_l3,activation_l3,dropout_l3,n_neurons_l4,activation_l4,dropout_l4,alpha_l3,n_neurons_l5,activation_l5,alpha_l5,dropout_l5,n_neurons_l6,activation_l6,dropout_l6,n_neurons_l7,activation_l7,dropout_l7,alpha_l4,alpha_l6,alpha_l7
227,elu,,0.331,8,1019,selu,0.453,56,relu,0.433,0.0035,Adam,166,0.9820737838745117,,29,,,987.0,relu,0.151,621.0,swish,0.423,,283.0,tanh,,0.132,873.0,elu,0.125,795.0,selu,0.319,,,
201,selu,,0.443,6,551,tanh,0.084,500,swish,0.442,0.0002,RMSprop,123,0.9995193481445312,,30,,,104.0,tanh,0.437,934.0,leaky_relu,0.002,,486.0,leaky_relu,0.2,0.258,,,,,,,0.14,,
225,selu,,0.5,7,609,tanh,0.051000000000000004,467,swish,0.445,0.0001,RMSprop,103,0.9990972876548767,,31,,,50.0,tanh,0.428,902.0,selu,0.158,,689.0,leaky_relu,0.14,0.124,620.0,selu,0.25,,,,,,
253,selu,,0.355,6,548,tanh,0.106,306,swish,0.312,0.0012000000000000001,RMSprop,238,0.9995310306549072,,32,,,269.0,tanh,0.242,718.0,leaky_relu,0.277,,474.0,swish,,0.35100000000000003,,,,,,,0.04,,
250,selu,,0.34800000000000003,5,570,selu,0.037,271,selu,0.264,0.0012000000000000001,RMSprop,236,0.998370349407196,,33,,,427.0,selu,0.233,695.0,leaky_relu,0.314,,,,,,,,,,,,0.01,,
181,elu,,0.218,6,925,elu,0.19,160,tanh,0.14400000000000002,0.0002,RMSprop,45,0.9993551969528198,,34,,,356.0,elu,0.41500000000000004,120.0,relu,0.267,,206.0,elu,,0.165,,,,,,,,,
256,swish,,0.442,7,502,elu,0.099,336,tanh,0.302,0.0032,RMSprop,324,0.9993903636932373,,35,,,267.0,relu,0.138,442.0,leaky_relu,0.28500000000000003,,473.0,swish,,0.363,14.0,selu,0.487,,,,0.02,,
232,tanh,,0.3,6,662,relu,0.075,516,elu,0.449,0.001,RMSprop,390,0.9995076060295105,,36,,,458.0,leaky_relu,0.233,699.0,leaky_relu,0.393,0.21000000000000002,105.0,swish,,0.373,,,,,,,0.09,,
164,leaky_relu,0.23,0.374,8,239,swish,0.129,212,relu,0.228,0.0051,Adam,47,0.5008206963539124,,37,,,104.0,elu,0.29,761.0,leaky_relu,0.251,,1005.0,elu,,0.23,775.0,swish,0.353,41.0,selu,0.06,0.09,,
127,leaky_relu,0.08,0.149,3,536,leaky_relu,0.28700000000000003,377,swish,0.01,0.0067,RMSprop,249,0.9991793036460876,,38,0.28,,,,,,,,,,,,,,,,,,,,,
222,selu,,0.165,5,397,tanh,0.225,523,swish,0.297,0.0016,RMSprop,47,0.999085545539856,,39,,,244.0,tanh,0.329,908.0,leaky_relu,0.375,,,,,,,,,,,,0.08,,
193,selu,,0.448,6,747,tanh,0.134,230,swish,0.34600000000000003,0.0005,RMSprop,178,0.9993317127227783,,40,,,108.0,tanh,0.383,912.0,relu,0.116,,518.0,tanh,,0.23500000000000001,,,,,,,,,
186,selu,,0.436,6,843,tanh,0.155,458,swish,0.357,0.0001,RMSprop,121,0.9990034699440002,,41,,,101.0,tanh,0.445,921.0,relu,0.024,,682.0,relu,,0.085,,,,,,,,,
216,selu,,0.365,7,974,selu,0.059000000000000004,655,swish,0.449,0.0007000000000000001,RMSprop,289,0.9988979697227478,,42,,,10.0,tanh,0.363,599.0,tanh,0.179,,490.0,selu,,0.312,340.0,elu,0.136,,,,,,
147,relu,,0.26,3,897,selu,0.055,115,elu,0.134,0.0009000000000000001,Adam,511,0.9273380703307129,,43,,,,,,,,,,,,,,,,,,,,,,
132,tanh,,0.069,6,594,tanh,0.355,391,swish,0.231,0.0023,RMSprop,73,0.9991441369056702,,44,,,254.0,leaky_relu,0.437,830.0,swish,0.233,0.03,817.0,swish,,0.383,,,,,,,,,
